period,state,stateDescription,estimated-losses,facility-direct,full-service-providers,total-elect-indust,estimated-losses-units,facility-direct-units,full-service-providers-units,total-elect-indust-units
2017,WY,Wyoming,912700,,16778067,16778067,megawatthours,megawatthours,megawatthours,megawatthours
2017,WV,West Virginia,1724921,,31709019,31709019,megawatthours,megawatthours,megawatthours,megawatthours
2017,WI,Wisconsin,3757795,,69079109,69079109,megawatthours,megawatthours,megawatthours,megawatthours
2017,WA,Washington,5001836,,89639210,91948172,megawatthours,megawatthours,megawatthours,megawatthours
2017,VT,Vermont,295039,2590,5421072,5423662,megawatthours,megawatthours,megawatthours,megawatthours
2017,VA,Virginia,6067042,2004,110944698,111529732,megawatthours,megawatthours,megawatthours,megawatthours
2017,UT,Utah,1663995,2294,30586727,30589021,megawatthours,megawatthours,megawatthours,megawatthours
2017,US,United States,202544716,13656138,3149972818,3723355974,megawatthours,megawatthours,megawatthours,megawatthours
2017,TX,Texas,21861661,7058328,394822046,401880374,megawatthours,megawatthours,megawatthours,megawatthours
2017,TN,Tennessee,5289697,49294,97190591,97239885,megawatthours,megawatthours,megawatthours,megawatthours
2017,SD,South Dakota,669845,,12313675,12313675,megawatthours,megawatthours,megawatthours,megawatthours
2017,SC,South Carolina,4248341,,78096757,78096757,megawatthours,megawatthours,megawatthours,megawatthours
2017,RI,Rhode Island,401715,732,3936206,7384671,megawatthours,megawatthours,megawatthours,megawatthours
2017,PA,Pennsylvania,7778480,15145,45472076,142990896,megawatthours,megawatthours,megawatthours,megawatthours
2017,OR,Oregon,2722305,22865,47535844,50043816,megawatthours,megawatthours,megawatthours,megawatthours
2017,OK,Oklahoma,3290677,,60492128,60492128,megawatthours,megawatthours,megawatthours,megawatthours
2017,OH,Ohio,7977194,179158,45028494,146643831,megawatthours,megawatthours,megawatthours,megawatthours
2017,NY,New York,7887361,752354,68283520,144992433,megawatthours,megawatthours,megawatthours,megawatthours
2017,NV,Nevada,1994126,112601,32690068,36657786,megawatthours,megawatthours,megawatthours,megawatthours
2017,NM,New Mexico,1251685,19235,22990349,23009584,megawatthours,megawatthours,megawatthours,megawatthours
2017,NJ,New Jersey,3991917,499500,37028500,73382940,megawatthours,megawatthours,megawatthours,megawatthours
2017,NH,New Hampshire,586810,,5111032,10787261,megawatthours,megawatthours,megawatthours,megawatthours
2017,NC,North Carolina,7149113,4044,131417275,131421319,megawatthours,megawatthours,megawatthours,megawatthours
2016,WV,West Virginia,1674089,,32076146,32076146,megawatthours,megawatthours,megawatthours,megawatthours
2016,WY,Wyoming,864017,,16554870,16554870,megawatthours,megawatthours,megawatthours,megawatthours
2016,WA,Washington,4639021,,86799742,88885316,megawatthours,megawatthours,megawatthours,megawatthours
2016,VT,Vermont,287909,2816,5513634,5516450,megawatthours,megawatthours,megawatthours,megawatthours
2016,VA,Virginia,5860049,2355,111646889,112280665,megawatthours,megawatthours,megawatthours,megawatthours
2016,UT,Utah,1575103,2288,30177246,30179534,megawatthours,megawatthours,megawatthours,megawatthours
2016,US,United States,196366940,12905394,3189541028,3762461630,megawatthours,megawatthours,megawatthours,megawatthours
2016,TX,Texas,20806591,7191121,391470688,398661809,megawatthours,megawatthours,megawatthours,megawatthours
2016,TN,Tennessee,5258692,14305,100744134,100758439,megawatthours,megawatthours,megawatthours,megawatthours
2016,SD,South Dakota,633053,,12129530,12129530,megawatthours,megawatthours,megawatthours,megawatthours
2016,SC,South Carolina,4153238,,79577550,79577550,megawatthours,megawatthours,megawatthours,megawatthours
2016,RI,Rhode Island,392700,0,4023584,7524270,megawatthours,megawatthours,megawatthours,megawatthours
2016,PA,Pennsylvania,7584809,14087,46927424,145327683,megawatthours,megawatthours,megawatthours,megawatthours
2016,OR,Oregon,2471214,1288,45335947,47349350,megawatthours,megawatthours,megawatthours,megawatthours
2016,OK,Oklahoma,3210615,,61516554,61516554,megawatthours,megawatthours,megawatthours,megawatthours
2016,OH,Ohio,7859862,183717,49152325,150597796,megawatthours,megawatthours,megawatthours,megawatthours
2016,NY,New York,7714000,736505,69693984,147803038,megawatthours,megawatthours,megawatthours,megawatthours
2016,NV,Nevada,1886427,70325,33433864,36144630,megawatthours,megawatthours,megawatthours,megawatthours
2016,NM,New Mexico,1202459,21058,23018489,23039547,megawatthours,megawatthours,megawatthours,megawatthours
2016,NJ,New Jersey,3933087,474309,38736693,75359371,megawatthours,megawatthours,megawatthours,megawatthours
2016,NH,New Hampshire,569141,,5379546,10904956,megawatthours,megawatthours,megawatthours,megawatthours
2016,NE,Nebraska,1576137,,30199354,30199354,megawatthours,megawatthours,megawatthours,megawatthours
2016,ND,North Dakota,966589,,18520188,18520188,megawatthours,megawatthours,megawatthours,megawatthours
2016,NC,North Carolina,7014707,,134404319,134404319,megawatthours,megawatthours,megawatthours,megawatthours
2016,MT,Montana,735926,,11365708,14100601,megawatthours,megawatthours,megawatthours,megawatthours
2016,MS,Mississippi,2559981,,49050164,49050164,megawatthours,megawatthours,megawatthours,megawatthours
2016,MO,Missouri,4103161,,78618056,78618056,megawatthours,megawatthours,megawatthours,megawatthours
2016,MN,Minnesota,3473133,623066,65923426,66546492,megawatthours,megawatthours,megawatthours,megawatthours
2016,MI,Michigan,5452288,416528,94935158,104467813,megawatthours,megawatthours,megawatthours,megawatthours
2016,ME,Maine,597533,58986,5747904,11448951,megawatthours,megawatthours,megawatthours,megawatthours
2016,MD,Maryland,3202127,64892,29266915,61353911,megawatthours,megawatthours,megawatthours,megawatthours
2016,MA,Massachusetts,2790964,468513,22330919,53475888,megawatthours,megawatthours,megawatthours,megawatthours
2016,LA,Louisiana,4773013,,91452659,91452659,megawatthours,megawatthours,megawatthours,megawatthours
2016,KY,Kentucky,3891032,135976,74417599,74553575,megawatthours,megawatthours,megawatthours,megawatthours
2016,KS,Kansas,2129927,,40810174,40810174,megawatthours,megawatthours,megawatthours,megawatthours
2016,IN,Indiana,5412467,13348,103691473,103704821,megawatthours,megawatthours,megawatthours,megawatthours
2016,IL,Illinois,7361573,376109,48858535,141050409,megawatthours,megawatthours,megawatthours,megawatthours
2016,ID,Idaho,1203681,14651,23048310,23062961,megawatthours,megawatthours,megawatthours,megawatthours
2016,IA,Iowa,2527676,,48431193,48431193,megawatthours,megawatthours,megawatthours,megawatthours
2016,HI,Hawaii,492965,8242,9437147,9445389,megawatthours,megawatthours,megawatthours,megawatthours
2016,GA,Georgia,7208227,26284,138085955,138112239,megawatthours,megawatthours,megawatthours,megawatthours
2016,FL,Florida,12302577,2287,235719535,235721822,megawatthours,megawatthours,megawatthours,megawatthours
2016,DE,Delaware,587590,,6990155,11258438,megawatthours,megawatthours,megawatthours,megawatthours
2016,DC,District of Columbia,594665,,3049887,11394003,megawatthours,megawatthours,megawatthours,megawatthours
2016,CT,Connecticut,1509945,79519,12305217,28931087,megawatthours,megawatthours,megawatthours,megawatthours
2016,CO,Colorado,2860178,169390,54632647,54802037,megawatthours,megawatthours,megawatthours,megawatthours
2016,CA,California,13405104,1656884,225905190,256846635,megawatthours,megawatthours,megawatthours,megawatthours
2016,AZ,Arizona,4083317,62722,78175106,78237828,megawatthours,megawatthours,megawatthours,megawatthours
2016,AR,Arkansas,2410625,12360,46176078,46188438,megawatthours,megawatthours,megawatthours,megawatthours
